en,ta
prescribed limits,நியமித்த வரையறைகள்
reconstruction,மீள்நிர்மாணம்
jingles,மெல்லிய மணியோசை
classroom management,வகுப்பறை முகாமைத்துவம்
operational cost,தொழிற்பாட்டிலான செலவு
quorum,கூட்ட நடப்பெண்
electronic newspaper,மின்னியல் செய்திப்பத்திரிகை
medical research institute,மருத்துவ ஆராய்ச்சி நிறுவகம்
potent,இயல்திறன்வாய்ந்த
vanity,இடம்பம்
multiplication,பெருக்கல்
acquittance,கடன்தீர்ப்பு
literary journalism,கல்வியறிவு பத்திரிகைத்தொழில்
obliged,நன்றிசெய்
access channel,பெறுவழி அலைவரிசை
imagery,புனைவாற்றல்
culturological approach,கலாசாரதர்க்கவியல் அணுகுமுறை
ruling,நடைமுறையிலுள்ள
animus injuriandi,அவமானஞ் செய்யும் முன்னர்
percentage,சதவீதம்
natural use,வழமையான பயன்பாடு
trick,சூழ்ச்சி
holiday bungalows recovery of damages,விடுமுறை பங்காளாக்கள்- சேத மீட்பு
time table,கால அட்டவணை
new industrial revolution,புதிய கைத்தொழில் புரட்சி
consumer subsidies,நுகர்வோர் உதவிப்பணம்
pendency,முடிவுறாமை
cumulative percentage,திரள் சதவீதம்
child centered teaching,பிள்ளை மையக்கற்பித்தல்
remote,தொலைநிலை
navigate (v),கப்பல்
report,அறிக்கை
leading case,தலையாய வழக்கு
functional psychology,தொழிற்பாட்டுளவியல்
